angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.09,"[122, 86, 109, 149]",0.0,0.06,0.08,0.36,0.4,0.0
0.12,"[122, 85, 110, 149]",0.0,0.07,0.09,0.32,0.39,0.01
0.15,"[123, 84, 109, 149]",0.0,0.07,0.14,0.32,0.3,0.01
0.12,"[121, 81, 115, 155]",0.0,0.06,0.2,0.4,0.2,0.01
0.12,"[121, 81, 115, 154]",0.0,0.06,0.33,0.36,0.13,0.01
0.09,"[121, 80, 115, 155]",0.0,0.06,0.52,0.23,0.08,0.01
0.03,"[121, 81, 115, 153]",0.0,0.03,0.69,0.21,0.03,0.01
0.04,"[123, 82, 108, 149]",0.0,0.05,0.71,0.14,0.03,0.04
0.01,"[123, 81, 109, 150]",0.0,0.03,0.86,0.07,0.01,0.02
0.01,"[123, 83, 108, 148]",0.0,0.02,0.84,0.09,0.01,0.02
0.01,"[123, 83, 108, 149]",0.0,0.02,0.85,0.09,0.01,0.01
0.02,"[121, 82, 114, 153]",0.0,0.03,0.85,0.06,0.01,0.02
0.01,"[121, 84, 113, 152]",0.0,0.02,0.91,0.03,0.01,0.02
0.03,"[120, 86, 113, 150]",0.0,0.05,0.79,0.07,0.02,0.04
0.02,"[121, 85, 112, 151]",0.0,0.04,0.84,0.03,0.02,0.05
0.08,"[120, 88, 110, 149]",0.0,0.08,0.72,0.02,0.04,0.06
0.01,"[121, 81, 111, 156]",0.0,0.03,0.88,0.01,0.01,0.06
0.02,"[121, 84, 109, 152]",0.0,0.06,0.81,0.01,0.02,0.07
0.02,"[120, 81, 115, 159]",0.0,0.06,0.71,0.04,0.01,0.16
0.02,"[120, 82, 112, 157]",0.0,0.16,0.32,0.07,0.01,0.41
0.04,"[119, 81, 112, 157]",0.0,0.13,0.44,0.07,0.01,0.31
0.03,"[119, 82, 112, 157]",0.0,0.08,0.63,0.12,0.01,0.13
0.03,"[119, 83, 111, 156]",0.0,0.07,0.67,0.13,0.02,0.08
0.02,"[119, 83, 113, 157]",0.0,0.05,0.71,0.09,0.01,0.13
0.05,"[118, 83, 115, 157]",0.0,0.1,0.58,0.15,0.02,0.1
0.04,"[119, 85, 114, 156]",0.0,0.06,0.74,0.1,0.01,0.06
0.05,"[119, 87, 113, 155]",0.0,0.04,0.73,0.15,0.02,0.01
0.02,"[122, 90, 110, 153]",0.0,0.02,0.85,0.08,0.02,0.0
0.05,"[123, 92, 110, 152]",0.0,0.03,0.76,0.05,0.1,0.0
0.11,"[122, 94, 110, 155]",0.0,0.05,0.67,0.05,0.11,0.0
0.06,"[123, 95, 110, 153]",0.0,0.08,0.49,0.08,0.29,0.0
0.05,"[125, 98, 110, 153]",0.0,0.06,0.43,0.17,0.29,0.0
0.06,"[126, 103, 108, 148]",0.0,0.09,0.15,0.09,0.61,0.0
0.06,"[125, 102, 111, 149]",0.02,0.12,0.04,0.17,0.59,0.0
0.09,"[128, 105, 108, 147]",0.16,0.09,0.01,0.06,0.59,0.0
0.06,"[127, 105, 109, 147]",0.1,0.09,0.01,0.15,0.6,0.0
0.07,"[128, 105, 108, 145]",0.06,0.15,0.01,0.19,0.53,0.0
0.06,"[128, 105, 109, 145]",0.06,0.13,0.0,0.29,0.45,0.01
0.05,"[129, 104, 106, 143]",0.03,0.08,0.01,0.33,0.49,0.01
0.04,"[128, 102, 106, 144]",0.03,0.1,0.01,0.27,0.54,0.01
0.04,"[128, 101, 107, 144]",0.02,0.1,0.01,0.28,0.53,0.02
0.04,"[128, 100, 106, 144]",0.02,0.11,0.01,0.27,0.52,0.01
0.05,"[128, 100, 108, 144]",0.02,0.11,0.01,0.31,0.48,0.02
0.04,"[127, 97, 109, 146]",0.02,0.11,0.01,0.44,0.38,0.01
0.04,"[127, 98, 108, 144]",0.08,0.06,0.0,0.41,0.4,0.0
0.07,"[129, 95, 107, 143]",0.04,0.13,0.0,0.22,0.55,0.0
0.15,"[127, 95, 108, 144]",0.09,0.13,0.02,0.3,0.3,0.0
0.13,"[127, 91, 107, 143]",0.02,0.11,0.12,0.27,0.36,0.0
0.25,"[127, 91, 107, 145]",0.01,0.05,0.39,0.12,0.17,0.0
0.14,"[126, 88, 106, 147]",0.0,0.02,0.66,0.11,0.05,0.0
0.1,"[124, 85, 111, 151]",0.0,0.01,0.77,0.08,0.03,0.0
0.04,"[125, 83, 108, 149]",0.0,0.01,0.86,0.05,0.03,0.0
0.09,"[123, 85, 108, 148]",0.0,0.01,0.84,0.05,0.02,0.0
0.01,"[123, 82, 109, 149]",0.0,0.0,0.98,0.01,0.0,0.0
0.03,"[122, 84, 108, 149]",0.0,0.0,0.94,0.02,0.0,0.0
0.05,"[121, 83, 109, 150]",0.0,0.01,0.91,0.02,0.01,0.0
0.04,"[119, 82, 113, 153]",0.0,0.01,0.94,0.01,0.0,0.0
0.01,"[121, 82, 107, 150]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[121, 84, 107, 148]",0.0,0.0,0.98,0.0,0.0,0.0
0.0,"[120, 83, 108, 149]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[120, 84, 108, 150]",0.0,0.0,0.99,0.0,0.0,0.0
0.01,"[118, 83, 113, 155]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[117, 84, 113, 153]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[117, 87, 110, 150]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[117, 88, 108, 148]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[117, 88, 109, 149]",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"[116, 89, 109, 148]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[117, 89, 109, 149]",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"[116, 90, 109, 148]",0.0,0.0,0.98,0.01,0.0,0.0
0.01,"[118, 90, 108, 148]",0.0,0.01,0.96,0.0,0.0,0.02
0.01,"[118, 92, 108, 146]",0.0,0.01,0.96,0.01,0.0,0.02
0.03,"[117, 93, 108, 146]",0.0,0.03,0.9,0.01,0.01,0.02
0.02,"[117, 95, 108, 145]",0.0,0.01,0.93,0.02,0.0,0.02
0.07,"[118, 95, 106, 146]",0.0,0.03,0.83,0.03,0.02,0.02
0.02,"[118, 96, 106, 145]",0.0,0.02,0.88,0.01,0.0,0.07
0.01,"[117, 93, 108, 149]",0.0,0.03,0.86,0.01,0.01,0.08
0.03,"[116, 92, 110, 152]",0.0,0.07,0.76,0.02,0.01,0.11
0.02,"[116, 95, 109, 149]",0.0,0.02,0.86,0.03,0.01,0.05
0.03,"[116, 96, 109, 148]",0.0,0.03,0.82,0.05,0.02,0.04
0.02,"[116, 95, 110, 150]",0.0,0.03,0.84,0.03,0.02,0.05
0.09,"[116, 95, 110, 150]",0.0,0.15,0.48,0.06,0.07,0.15
0.08,"[115, 94, 111, 151]",0.0,0.19,0.44,0.04,0.04,0.21
0.13,"[116, 95, 110, 151]",0.0,0.41,0.08,0.02,0.03,0.33
0.12,"[115, 94, 112, 153]",0.0,0.44,0.04,0.01,0.02,0.37
0.1,"[115, 93, 112, 155]",0.0,0.39,0.01,0.01,0.01,0.48
0.07,"[114, 93, 113, 154]",0.0,0.23,0.03,0.01,0.01,0.66
0.03,"[114, 91, 114, 160]",0.0,0.34,0.01,0.01,0.01,0.6
0.02,"[116, 93, 109, 152]",0.0,0.06,0.13,0.01,0.0,0.78
0.02,"[117, 93, 107, 149]",0.0,0.05,0.26,0.04,0.01,0.64
0.01,"[117, 92, 107, 148]",0.0,0.01,0.63,0.1,0.01,0.25
0.02,"[117, 90, 107, 147]",0.0,0.02,0.52,0.29,0.02,0.13
0.02,"[116, 89, 109, 149]",0.0,0.04,0.61,0.13,0.01,0.19
0.03,"[114, 85, 115, 153]",0.0,0.03,0.45,0.35,0.04,0.1
0.01,"[117, 87, 107, 149]",0.0,0.02,0.81,0.07,0.01,0.09
0.01,"[116, 88, 107, 148]",0.0,0.08,0.63,0.06,0.03,0.19
0.05,"[117, 86, 108, 152]",0.0,0.35,0.24,0.03,0.08,0.25
0.08,"[116, 86, 110, 152]",0.0,0.36,0.16,0.03,0.09,0.3
0.04,"[116, 85, 110, 152]",0.0,0.27,0.33,0.02,0.03,0.31
0.02,"[115, 90, 109, 149]",0.0,0.23,0.51,0.01,0.03,0.19
0.04,"[115, 90, 109, 149]",0.0,0.1,0.74,0.01,0.02,0.09
0.04,"[115, 91, 110, 149]",0.0,0.13,0.62,0.01,0.02,0.17
0.01,"[117, 85, 112, 155]",0.0,0.08,0.74,0.01,0.01,0.15
0.01,"[116, 85, 117, 159]",0.0,0.04,0.83,0.01,0.0,0.11
0.03,"[118, 90, 114, 155]",0.0,0.07,0.69,0.02,0.01,0.18
0.05,"[118, 86, 117, 162]",0.0,0.1,0.63,0.01,0.01,0.2
0.03,"[119, 88, 114, 160]",0.0,0.12,0.58,0.01,0.01,0.26
0.02,"[119, 89, 117, 161]",0.0,0.03,0.84,0.01,0.0,0.1
0.01,"[121, 93, 112, 157]",0.0,0.03,0.87,0.01,0.0,0.08
0.01,"[121, 95, 112, 157]",0.0,0.03,0.88,0.01,0.0,0.06
0.02,"[121, 98, 112, 154]",0.0,0.02,0.9,0.02,0.0,0.05
0.01,"[121, 100, 112, 153]",0.0,0.01,0.95,0.01,0.0,0.01
0.0,"[121, 96, 114, 158]",0.0,0.0,0.98,0.01,0.0,0.01
0.0,"[121, 101, 111, 151]",0.0,0.01,0.97,0.01,0.0,0.01
0.01,"[121, 96, 111, 157]",0.0,0.02,0.78,0.14,0.0,0.05
0.1,"[121, 96, 112, 155]",0.0,0.14,0.15,0.12,0.04,0.45
0.05,"[120, 96, 112, 153]",0.0,0.08,0.07,0.1,0.02,0.67
0.1,"[120, 96, 112, 154]",0.0,0.09,0.05,0.12,0.03,0.61
0.11,"[120, 96, 111, 153]",0.0,0.1,0.05,0.15,0.04,0.56
0.14,"[120, 94, 112, 155]",0.0,0.09,0.04,0.14,0.04,0.55
0.1,"[120, 94, 111, 154]",0.0,0.09,0.26,0.21,0.05,0.29
0.11,"[119, 94, 112, 155]",0.0,0.11,0.2,0.31,0.06,0.22
0.08,"[120, 93, 111, 156]",0.0,0.06,0.36,0.36,0.04,0.1
0.02,"[120, 93, 111, 154]",0.0,0.02,0.64,0.27,0.01,0.04
0.01,"[120, 93, 110, 152]",0.0,0.01,0.91,0.05,0.0,0.02
0.0,"[120, 92, 111, 151]",0.0,0.01,0.94,0.02,0.0,0.03
0.01,"[120, 91, 111, 153]",0.0,0.01,0.94,0.02,0.0,0.02
0.0,"[120, 91, 112, 155]",0.0,0.0,0.97,0.01,0.0,0.02
0.01,"[120, 89, 111, 156]",0.0,0.01,0.91,0.01,0.0,0.07
0.0,"[120, 90, 112, 157]",0.0,0.0,0.98,0.01,0.0,0.01
0.0,"[120, 92, 109, 153]",0.0,0.01,0.95,0.0,0.0,0.04
0.0,"[121, 92, 108, 153]",0.0,0.0,0.96,0.0,0.0,0.03
0.0,"[120, 92, 109, 152]",0.0,0.0,0.95,0.01,0.0,0.04
0.0,"[120, 94, 108, 149]",0.0,0.0,0.94,0.01,0.0,0.05
0.0,"[119, 93, 108, 150]",0.0,0.0,0.94,0.0,0.0,0.05
0.0,"[119, 94, 108, 149]",0.0,0.0,0.97,0.0,0.0,0.03
0.0,"[118, 94, 109, 150]",0.0,0.0,0.96,0.01,0.0,0.03
0.0,"[118, 94, 109, 150]",0.0,0.0,0.96,0.01,0.0,0.03
0.0,"[118, 97, 107, 146]",0.0,0.01,0.93,0.01,0.0,0.05
0.0,"[118, 96, 108, 148]",0.0,0.0,0.94,0.01,0.0,0.04
0.0,"[118, 96, 107, 147]",0.0,0.0,0.94,0.01,0.0,0.04
0.0,"[118, 96, 107, 147]",0.0,0.0,0.94,0.02,0.0,0.04
0.0,"[118, 96, 107, 147]",0.0,0.0,0.96,0.01,0.0,0.03
0.0,"[118, 96, 106, 147]",0.0,0.0,0.96,0.01,0.0,0.02
0.0,"[118, 96, 106, 147]",0.0,0.0,0.95,0.02,0.0,0.03
0.0,"[117, 96, 107, 147]",0.0,0.0,0.95,0.02,0.0,0.03
0.0,"[117, 96, 106, 146]",0.0,0.0,0.94,0.01,0.0,0.04
0.0,"[116, 96, 107, 147]",0.0,0.0,0.94,0.02,0.0,0.04
0.0,"[116, 98, 107, 144]",0.0,0.0,0.93,0.01,0.0,0.05
0.0,"[116, 98, 107, 144]",0.0,0.0,0.93,0.01,0.0,0.05
